date,time,bottle,xCH4
10/04/2015,15:00,7,0.657692931
10/04/2015,15:00,8,0.664701405
10/04/2015,15:00,9,0.668080567
10/04/2015,15:00,10,0.662985368
10/04/2015,15:00,11,0.665326656
10/04/2015,15:00,12,0.666482928
10/04/2015,15:00,13,0.664474838
10/04/2015,15:00,14,0.669639897
10/04/2015,15:00,15,0.676447413
10/04/2015,15:00,16,0.669046406
10/04/2015,15:00,17,0.669695122
10/04/2015,15:00,18,0.670498441
10/04/2015,15:00,19,0.68481019
10/04/2015,15:00,20,0.677482953
10/04/2015,15:00,21,0.670266622
10/04/2015,15:00,22,0.710132075
10/04/2015,15:00,23,0.702308334
10/04/2015,15:00,24,0.695822209
10/04/2015,15:00,25,0.694942928
10/04/2015,15:00,26,0.69149715
10/04/2015,15:00,27,0.689805917
15/04/2015,16:20,1,0.758392436
15/04/2015,16:20,2,0.76739252
15/04/2015,16:20,3,0.746594813
15/04/2015,16:20,4,0.629408338
15/04/2015,16:20,5,0.602964191
15/04/2015,16:20,6,0.601584097
15/04/2015,16:20,7,0.689025547
15/04/2015,16:20,8,0.699030195
15/04/2015,16:20,9,0.709735861
15/04/2015,16:20,10,0.722811581
15/04/2015,16:20,11,0.742826678
15/04/2015,16:20,12,0.737787035
15/04/2015,16:20,13,0.738829672
15/04/2015,16:20,14,0.740661332
15/04/2015,16:20,15,0.74013382
15/04/2015,16:20,16,0.754009286
15/04/2015,16:20,17,0.735076949
15/04/2015,16:20,18,0.734154737
15/04/2015,16:20,19,0.736366592
15/04/2015,16:20,20,0.735248292
15/04/2015,16:20,21,0.732831328
15/04/2015,16:20,22,0.737930168
15/04/2015,16:20,23,0.736201067
15/04/2015,16:20,24,0.733494607
15/04/2015,16:20,25,0.74456164
15/04/2015,16:20,26,0.738683607
15/04/2015,16:20,27,0.737501273
25/04/2015,18:30,1,0.743161751
25/04/2015,18:30,2,0.745661522
25/04/2015,18:30,3,0.742180494
25/04/2015,18:30,4,0.637148071
25/04/2015,18:30,5,0.623404845
25/04/2015,18:30,6,0.624588444
25/04/2015,18:30,7,0.738055605
25/04/2015,18:30,8,0.730204032
25/04/2015,18:30,9,0.731104398
25/04/2015,18:30,10,0.735989686
25/04/2015,18:30,11,0.736017205
25/04/2015,18:30,12,0.735288258
25/04/2015,18:30,13,0.743009282
25/04/2015,18:30,14,0.747247738
25/04/2015,18:30,15,0.746066906
25/04/2015,18:30,16,0.744256766
25/04/2015,18:30,17,0.737800951
25/04/2015,18:30,18,0.737548606
25/04/2015,18:30,19,0.736048152
25/04/2015,18:30,20,0.740453776
25/04/2015,18:30,21,0.743723769
25/04/2015,18:30,22,0.748429665
25/04/2015,18:30,23,0.751030694
25/04/2015,18:30,24,0.741688438
25/04/2015,18:30,25,0.748972061
25/04/2015,18:30,26,0.74073679
25/04/2015,18:30,27,0.739645581
